department_code,name,operating_hours,physical_address,service_hub,channel,type,value,verification_status,source_url,notes,after_hours
MUNICIPAL_OPERATIONS,Municipal Operations,Mon-Fri 08:00-16:00,,Municipal Operations,phone,secondary,031 311 4002,unverified,https://www.durban.gov.za/page/contact-us-3,,false
MUNICIPAL_OPERATIONS,Municipal Operations,Mon-Fri 08:00-16:00,,Municipal Operations,email,secondary,ombuds@durban.gov.za,unverified,https://www.durban.gov.za/page/contact-us-3,,false
PARKS_RECREATION,Parks and Recreation,Mon-Fri 08:00-16:00,,Community Services,phone,primary,031 322 4350,unverified,https://bridgecity.org.za/site/wp-content/uploads/2017/01/Ethekwini-Municipality-Contact-List_Jan17.pdf,,false
PARKS_RECREATION,Parks and Recreation,Mon-Fri 08:00-16:00,,Community Services,phone,secondary,031 322 4000,unverified,https://bridgecity.org.za/site/wp-content/uploads/2017/01/Ethekwini-Municipality-Contact-List_Jan17.pdf,,false
PARKS_RECREATION,Parks and Recreation,Mon-Fri 08:00-16:00,,Community Services,email,primary,eservices@durban.gov.za,unverified,https://www.durban.gov.za/page/sizakala-customer-services,,false
PUBLIC_SAFETY,Public Safety,24/7,,Public Safety,phone,secondary,031 311 4699,unverified,https://www.durban.gov.za/page/public-safety-emergency-services,,true
PUBLIC_SAFETY,Public Safety,24/7,,Public Safety,phone,primary,031 361 0000,unverified,https://www.durban.gov.za/page/public-safety-emergency-services,,true
PUBLIC_SAFETY,Public Safety,24/7,,Public Safety,email,primary,sizakala@durban.gov.za,unverified,https://www.durban.gov.za/page/sizakala-customer-services,,false
ROADS_STORMWATER,Roads and Stormwater,24/7 faults,,Engineering,phone,primary,080 131 3013,unverified,https://www.durban.gov.za/page/engineering,Engineering Unit call centre,true
ROADS_STORMWATER,Roads and Stormwater,24/7 faults,,Engineering,email,primary,eservices@durban.gov.za,unverified,https://www.durban.gov.za/page/engineering,,false
SAPS,SAPS,24/7,,National SAPS,phone,primary,10111,unverified,https://www.durban.gov.za/page/public-safety-emergency-services,,true
SAPS,SAPS,24/7,,National SAPS,phone,secondary,031 325 4111,unverified,https://bridgecity.org.za/site/wp-content/uploads/2017/01/Ethekwini-Municipality-Contact-List_Jan17.pdf,Durban Central,true
SAPS,SAPS,24/7,,National SAPS,email,primary,complaintsnodalpoint@saps.gov.za,unverified,https://www.gov.za/about-government/contact-directory/kzn-municipalities/ethekwini-metropolitan-municipality,,false
SEWER_DRAINAGE,Sewer and Drainage,24/7 faults,,Engineering,phone,primary,080 311 1111,unverified,https://www.durban.gov.za/page/sizakala-customer-services,,true
SEWER_DRAINAGE,Sewer and Drainage,24/7 faults,,Engineering,email,primary,eservices@durban.gov.za,unverified,https://www.durban.gov.za/page/engineering,,false
STREET_LIGHTING,Street Lighting,24/7 faults,,Engineering,phone,primary,080 311 1111,unverified,https://www.durban.gov.za/page/sizakala-customer-services,,true
STREET_LIGHTING,Street Lighting,24/7 faults,,Engineering,whatsapp,secondary,076 791 2449,unverified,https://www.durban.gov.za/page/sizakala-customer-services,WhatsApp,true
STREET_LIGHTING,Street Lighting,24/7 faults,,Engineering,email,primary,electricity.faults@durban.gov.za,unverified,https://www.durban.gov.za/page/sizakala-customer-services,,false
TRANSPORT_AUTHORITY,Traffic and Transport,Mon-Fri 08:00-16:00,,Transport Authority,phone,primary,0861 000 834,unverified,https://www.durban.gov.za/page/transportation,,false
TRANSPORT_AUTHORITY,Traffic and Transport,Mon-Fri 08:00-16:00,,Transport Authority,email,primary,dtpmover@durban.gov.za,unverified,https://www.durban.gov.za/page/transportation,,false
WASTE_MANAGEMENT,Waste Management,Mon-Sat 07:30-16:30,,Solid Waste,phone,primary,031 311 8804,unverified,https://www.durban.gov.za/page/sizakala-customer-services,,false
WASTE_MANAGEMENT,Waste Management,Mon-Sat 07:30-16:30,,Solid Waste,phone,secondary,031 324 5000,unverified,https://www.durban.gov.za/page/sizakala-customer-services,,false
WASTE_MANAGEMENT,Waste Management,Mon-Sat 07:30-16:30,,Solid Waste,email,primary,dsw@durban.gov.za,unverified,https://www.durban.gov.za/page/administrative-clusters,,false
WASTE_MANAGEMENT,Waste Management,Mon-Sat 07:30-16:30,,Solid Waste,email,secondary,revline@durban.gov.za,unverified,https://www.durban.gov.za/page/sizakala-customer-services,Billing queries,false
WATER_SANITATION,Water and Sanitation,24/7 faults,,Engineering,phone,primary,080 311 1111,unverified,https://www.durban.gov.za/page/water-and-sanitation-services,,true
WATER_SANITATION,Water and Sanitation,24/7 faults,,Engineering,whatsapp,secondary,073 148 3477,unverified,https://www.durban.gov.za/page/water-and-sanitation-services,WhatsApp,true
WATER_SANITATION,Water and Sanitation,24/7 faults,,Engineering,email,primary,eservices@durban.gov.za,unverified,https://www.durban.gov.za/page/water-and-sanitation-services,,false
